1,1784
2,792
7,390
11,2061
12,297
17,965
20,1421
25,195
26,633
28,72
29,1400
31,2108
33,709
35,1873
70,1475
86,1767
88,918
89,1992
90,377
91,979
92,1245
94,429
109,2183
114,202
117,1627
118,1199
127,1731
143,285
144,624
146,1619
148,1956
149,913
150,1350
153,504
155,132
156,1785
157,484
160,1105
162,1149
163,1837
164,2643
165,2064
166,2598
168,1587
174,1785
180,372
182,2287
183,1115
189,957
191,1628
194,2218
263,179
264,132
272,124
277,54
278,2400
279,1216
281,1220
284,136
285,887
288,2663
293,994
295,1970
299,140
309,57
312,678
318,1814
319,7
323,1963
324,2159
325,222
326,96
330,788
333,1553
334,1638
335,1243
336,1681
337,1902
339,871
341,809
345,2005
346,1367
347,331
349,1368
351,2218
362,1029
366,821
370,296
373,429
374,550
375,397
376,1833
377,268
378,250
386,648
394,1964
404,2135
405,1076
407,1576
412,834
416,1270
422,201
423,401
424,173
425,213
426,631
427,1683
428,392
429,430
430,627
433,1075
435,707
442,1313
447,2066
449,1099
459,2060
460,400
466,110
474,1075
476,393
477,391
481,1263
482,1249
497,333
502,604
505,619
522,1444
524,1620
532,1553
537,95
540,254
541,898
542,4
544,394
545,2160
548,28
549,322
550,1351
553,140
558,575
574,696
575,1049
577,2241
578,1196
580,836
584,921
586,1592
587,397
588,361
589,334
590,1546
594,16
602,277
610,692
614,339
620,585
622,377
627,1265
629,212
635,208
637,313
646,486
651,1
655,361
656,379
661,643
663,112
669,1458
671,974
674,836
677,197
681,231
687,176
688,198
693,819
696,182
703,169
717,352
720,558
722,491
736,238
737,399
742,111
744,542
749,164
758,782
761,395
769,259
772,528
775,775
777,842
779,805
780,206
782,817
783,423
792,25
797,19
798,377
800,1262
804,5
812,388
814,121
823,217
824,104
825,401
827,239
834,276
838,804
840,29
846,704
848,179
849,395
850,19
851,242
853,160
854,51
859,108
860,341
862,546
870,820
874,166
875,107
879,3
882,168
884,167
885,183
887,42
892,50
897,132
898,36
901,27
905,163
906,134
909,713
921,78
924,737
930,111
933,14
937,119
938,157
939,120
945,112
951,60
954,17
958,147
959,153
960,275
961,259
963,200
970,325
972,127
976,22
978,23
981,41
982,2
984,79
985,136
1013,36
1015,2
1020,58
1025,50
1027,64
1029,5
1035,60
1037,86
1040,14
1041,9
1047,49
1048,40
1054,51
1056,66
1058,7
1060,53
1072,3
1081,59
1085,6
1086,21
1087,3
1089,15
1092,8
1093,6
1094,7
1100,20
1102,1
1106,180
1107,25
1109,20
1111,2
1115,4
1116,1
1118,649
1120,7
1121,25
1124,4
1127,2
1129,231
1131,9
1134,29
1138,202
1141,10
1146,10
1150,9
1152,7
1158,8
1164,15
1166,3
1167,55
1169,2
1172,25
1187,59
1190,10
1193,77
1194,10
1202,100
1204,196
1206,64
1210,40
1212,5
1213,1
1215,8
1218,3
1228,46
1236,68
1240,5
1241,6
1249,10
1252,54
1254,7
1261,74
1263,109
1264,5
1265,43
1271,1
1278,27
1289,1
1301,3
1305,24
1346,2
1365,18
1367,184
1376,3
1377,1
1378,12
1382,7
1383,381
1384,518
1389,85
1392,175
1396,114
1400,4
1402,234
1411,1
1413,83
1414,130
1415,185
1420,11
1421,60
1422,17
1423,29
1425,24
1428,8
1429,90
1430,7
1431,58
1439,48
1442,3
1446,124
1480,19
1486,1
1488,78
1551,4
1554,7
1555,12
1561,12
1578,2
