"","WPcData.fcst","WPcData.lower","WPcData.upper","WPcData.CI","V5"
"1",13.9956343507036,13.8132423963856,14.1780263050216,0.182391954318,14.0499556955
"2",13.871572206509,13.5625189319772,14.1806254810408,0.309053274531785,13.8792949361
"3",13.8699868062846,13.4300491108919,14.3099245016774,0.439937695392763,13.6250185742
"4",13.7399991744319,13.1690091966633,14.3109891522005,0.570989977768613,13.4330160977
"5",13.6459048286341,12.9436667026049,14.3481429546633,0.702238126029166,13.1848996656
"6",13.5712993521678,12.7434305159768,14.3991681883587,0.827868836190946,12.9362463768
"7",13.5250955854535,12.5739543365395,14.4762368343676,0.951141248914045,12.7065246377
"8",13.4679624886769,12.3941695708396,14.5417554065142,1.07379291783734,12.5683997841
"9",13.3743493734748,12.1857168118608,14.5629819350888,1.18863256161404,12.4501889038
"10",13.3594898534877,12.0579595243388,14.6610201826365,1.30153032914881,12.3679414944
"11",13.2625582874968,11.8513267467666,14.6737898282269,1.41123154073013,12.0679806677
"12",13.1763819440432,11.6611759418181,14.6915879462683,1.51520600222507,11.8630054675
"13",13.0304371505627,11.414097123311,14.6467771778144,1.61634002725169,11.6785158496
"14",12.9886489512756,11.2720266897777,14.7052712127736,1.71662226149796,11.600380403
"15",12.938645604983,11.12031580682,14.7569754031461,1.81832979816306,11.513663016
"16",12.80595917873,10.8924672362694,14.7194511211906,1.9134919424606,11.4451746138
"17",12.7386046214842,10.7357281847648,14.7414810582035,2.00287643671935,11.3924846653
"18",12.6227761718502,10.5343023363848,14.7112500073156,2.08847383546539,11.3826988312
"19",12.5302814305232,10.359287431582,14.7012754294644,2.17099399894123,11.3191723203
"20",12.4049878603713,10.1531253998342,14.6568503209085,2.25186246053715,11.350733658
"21",12.3397421290815,10.0108385219885,14.6686457361745,2.32890360709297,11.5796136147
"22",12.2909469617557,9.8831623787797,14.6987315447316,2.40778458297597,11.7282484661
"23",12.1959813889861,9.71234522541971,14.6796175525526,2.48363616356643,11.844584568
"24",12.1212617340843,9.56414862880669,14.6783748393619,2.55711310527763,11.8462590066
